"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2011 December","National - houses","Base Jan 2005 = 100","65.8"
"Residential Property Price Index","2011 December","National - apartments","Base Jan 2005 = 100","49.5"
"Residential Property Price Index","2011 December","Dublin - all residential properties","Base Jan 2005 = 100","57"
"Residential Property Price Index","2011 December","Dublin - houses","Base Jan 2005 = 100","59.6"
"Residential Property Price Index","2011 December","Dublin - apartments","Base Jan 2005 = 100","51.7"
"Residential Property Price Index","2011 December","Dublin City - houses","Base Jan 2005 = 100","58.2"
"Residential Property Price Index","2011 December","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","57"
"Residential Property Price Index","2011 December","Fingal - houses","Base Jan 2005 = 100","61.1"
"Residential Property Price Index","2011 December","South Dublin - houses","Base Jan 2005 = 100","64.1"
"Residential Property Price Index","2011 December","National excluding Dublin - all residential properties","Base Jan 2005 = 100","66.1"
"Residential Property Price Index","2011 December","National excluding Dublin - houses","Base Jan 2005 = 100","67.7"
"Residential Property Price Index","2011 December","National excluding Dublin - apartments","Base Jan 2005 = 100","42.7"
"Residential Property Price Index","2011 December","Border excluding Louth - houses","Base Jan 2005 = 100","64"
"Residential Property Price Index","2011 December","Midland - houses","Base Jan 2005 = 100","58.7"
"Residential Property Price Index","2011 December","West - houses","Base Jan 2005 = 100","72"
"Residential Property Price Index","2011 December","Mid-East including Louth - houses","Base Jan 2005 = 100","66.1"
"Residential Property Price Index","2011 December","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","70.1"
"Residential Property Price Index","2011 December","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","63.7"
"Residential Property Price Index","2011 December","South-West - houses","Base Jan 2005 = 100","70.6"
"Residential Property Price Index","2012 January","National - all residential properties","Base Jan 2005 = 100","62.3"
"Residential Property Price Index","2012 January","National - houses","Base Jan 2005 = 100","64.6"
"Residential Property Price Index","2012 January","National - apartments","Base Jan 2005 = 100","48.6"
"Residential Property Price Index","2012 January","Dublin - all residential properties","Base Jan 2005 = 100","56"
"Residential Property Price Index","2012 January","Dublin - houses","Base Jan 2005 = 100","58.6"
"Residential Property Price Index","2012 January","Dublin - apartments","Base Jan 2005 = 100","50.3"
"Residential Property Price Index","2012 January","Dublin City - houses","Base Jan 2005 = 100","56.4"
"Residential Property Price Index","2012 January","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","57"
"Residential Property Price Index","2012 January","Fingal - houses","Base Jan 2005 = 100","60.1"
"Residential Property Price Index","2012 January","South Dublin - houses","Base Jan 2005 = 100","62.2"
"Residential Property Price Index","2012 January","National excluding Dublin - all residential properties","Base Jan 2005 = 100","65.1"
"Residential Property Price Index","2012 January","National excluding Dublin - houses","Base Jan 2005 = 100","66.6"
"Residential Property Price Index","2012 January","National excluding Dublin - apartments","Base Jan 2005 = 100","43.7"
"Residential Property Price Index","2012 January","Border excluding Louth - houses","Base Jan 2005 = 100","62.9"
"Residential Property Price Index","2012 January","Midland - houses","Base Jan 2005 = 100","58.4"
"Residential Property Price Index","2012 January","West - houses","Base Jan 2005 = 100","68.7"
"Residential Property Price Index","2012 January","Mid-East including Louth - houses","Base Jan 2005 = 100","64.3"
"Residential Property Price Index","2012 January","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","69.9"
"Residential Property Price Index","2012 January","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","63"
"Residential Property Price Index","2012 January","South-West - houses","Base Jan 2005 = 100","70.2"
"Residential Property Price Index","2012 February","National - all residential properties","Base Jan 2005 = 100","60.9"
"Residential Property Price Index","2012 February","National - houses","Base Jan 2005 = 100","63.2"
"Residential Property Price Index","2012 February","National - apartments","Base Jan 2005 = 100","47.5"
"Residential Property Price Index","2012 February","Dublin - all residential properties","Base Jan 2005 = 100","54.5"
"Residential Property Price Index","2012 February","Dublin - houses","Base Jan 2005 = 100","57.2"
"Residential Property Price Index","2012 February","Dublin - apartments","Base Jan 2005 = 100","48.4"
"Residential Property Price Index","2012 February","Dublin City - houses","Base Jan 2005 = 100","54.6"
"Residential Property Price Index","2012 February","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","56.3"
"Residential Property Price Index","2012 February","Fingal - houses","Base Jan 2005 = 100","58.6"
"Residential Property Price Index","2012 February","South Dublin - houses","Base Jan 2005 = 100","60.6"
"Residential Property Price Index","2012 February","National excluding Dublin - all residential properties","Base Jan 2005 = 100","63.9"
"Residential Property Price Index","2012 February","National excluding Dublin - houses","Base Jan 2005 = 100","65.2"
"Residential Property Price Index","2012 February","National excluding Dublin - apartments","Base Jan 2005 = 100","45"
"Residential Property Price Index","2012 February","Border excluding Louth - houses","Base Jan 2005 = 100","60.6"
"Residential Property Price Index","2012 February","Midland - houses","Base Jan 2005 = 100","57.4"
"Residential Property Price Index","2012 February","West - houses","Base Jan 2005 = 100","67.8"
"Residential Property Price Index","2012 February","Mid-East including Louth - houses","Base Jan 2005 = 100","63"
"Residential Property Price Index","2012 February","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","68.7"
"Residential Property Price Index","2012 February","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","61.1"
"Residential Property Price Index","2012 February","South-West - houses","Base Jan 2005 = 100","69.5"
"Residential Property Price Index","2012 March","National - all residential properties","Base Jan 2005 = 100","61.2"
"Residential Property Price Index","2012 March","National - houses","Base Jan 2005 = 100","63.7"
"Residential Property Price Index","2012 March","National - apartments","Base Jan 2005 = 100","46.4"
"Residential Property Price Index","2012 March","Dublin - all residential properties","Base Jan 2005 = 100","54.9"
"Residential Property Price Index","2012 March","Dublin - houses","Base Jan 2005 = 100","58"
"Residential Property Price Index","2012 March","Dublin - apartments","Base Jan 2005 = 100","46.7"
"Residential Property Price Index","2012 March","Dublin City - houses","Base Jan 2005 = 100","53.9"
"Residential Property Price Index","2012 March","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","56.9"
"Residential Property Price Index","2012 March","Fingal - houses","Base Jan 2005 = 100","59.4"
"Residential Property Price Index","2012 March","South Dublin - houses","Base Jan 2005 = 100","60"
"Residential Property Price Index","2012 March","National excluding Dublin - all residential properties","Base Jan 2005 = 100","64.1"
"Residential Property Price Index","2012 March","National excluding Dublin - houses","Base Jan 2005 = 100","65.5"
"Residential Property Price Index","2012 March","National excluding Dublin - apartments","Base Jan 2005 = 100","45"
"Residential Property Price Index","2012 March","Border excluding Louth - houses","Base Jan 2005 = 100","63.1"
"Residential Property Price Index","2012 March","Midland - houses","Base Jan 2005 = 100","58.6"
"Residential Property Price Index","2012 March","West - houses","Base Jan 2005 = 100","67.5"
"Residential Property Price Index","2012 March","Mid-East including Louth - houses","Base Jan 2005 = 100","62.4"
"Residential Property Price Index","2012 March","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","68"
"Residential Property Price Index","2012 March","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","61.2"
"Residential Property Price Index","2012 March","South-West - houses","Base Jan 2005 = 100","68.4"
"Residential Property Price Index","2012 April","National - all residential properties","Base Jan 2005 = 100","60.2"
"Residential Property Price Index","2012 April","National - houses","Base Jan 2005 = 100","62.7"
"Residential Property Price Index","2012 April","National - apartments","Base Jan 2005 = 100","45.7"
"Residential Property Price Index","2012 April","Dublin - all residential properties","Base Jan 2005 = 100","54.7"
"Residential Property Price Index","2012 April","Dublin - houses","Base Jan 2005 = 100","57.7"
"Residential Property Price Index","2012 April","Dublin - apartments","Base Jan 2005 = 100","46.3"
"Residential Property Price Index","2012 April","Dublin City - houses","Base Jan 2005 = 100","53.7"
"Residential Property Price Index","2012 April","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","56"
"Residential Property Price Index","2012 April","Fingal - houses","Base Jan 2005 = 100","59.2"
"Residential Property Price Index","2012 April","South Dublin - houses","Base Jan 2005 = 100","59.6"
"Residential Property Price Index","2012 April","National excluding Dublin - all residential properties","Base Jan 2005 = 100","62.4"
"Residential Property Price Index","2012 April","National excluding Dublin - houses","Base Jan 2005 = 100","63.9"
"Residential Property Price Index","2012 April","National excluding Dublin - apartments","Base Jan 2005 = 100","43.7"
"Residential Property Price Index","2012 April","Border excluding Louth - houses","Base Jan 2005 = 100","62.5"
"Residential Property Price Index","2012 April","Midland - houses","Base Jan 2005 = 100","58.5"
"Residential Property Price Index","2012 April","West - houses","Base Jan 2005 = 100","65.7"
"Residential Property Price Index","2012 April","Mid-East including Louth - houses","Base Jan 2005 = 100","60.9"
"Residential Property Price Index","2012 April","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","66.3"
