"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2006 April","National - all residential properties","Base Jan 2005 = 100","115.8"
"Residential Property Price Index","2006 April","National - houses","Base Jan 2005 = 100","116.3"
"Residential Property Price Index","2006 April","National - apartments","Base Jan 2005 = 100","112.5"
"Residential Property Price Index","2006 April","Dublin - all residential properties","Base Jan 2005 = 100","119.2"
"Residential Property Price Index","2006 April","Dublin - houses","Base Jan 2005 = 100","120.7"
"Residential Property Price Index","2006 April","Dublin - apartments","Base Jan 2005 = 100","114.4"
"Residential Property Price Index","2006 April","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 April","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 April","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 April","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 April","National excluding Dublin - all residential properties","Base Jan 2005 = 100","113.9"
"Residential Property Price Index","2006 April","National excluding Dublin - houses","Base Jan 2005 = 100","114.3"
"Residential Property Price Index","2006 April","National excluding Dublin - apartments","Base Jan 2005 = 100","108.5"
"Residential Property Price Index","2006 April","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 April","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 April","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 April","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 April","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 April","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 April","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","National - all residential properties","Base Jan 2005 = 100","118.2"
"Residential Property Price Index","2006 May","National - houses","Base Jan 2005 = 100","118.8"
"Residential Property Price Index","2006 May","National - apartments","Base Jan 2005 = 100","114"
"Residential Property Price Index","2006 May","Dublin - all residential properties","Base Jan 2005 = 100","122.3"
